,iso,gdp
0,ABW,29007.6930034887
1,AFG,502.115486913067
2,AGO,2973.5911597986797
3,ALB,5352.85741103671
4,AND,40886.3911648431
5,ARB,6580.05625672999
6,ARE,43103.3230583165
7,ARG,10006.1489736082
8,ARM,4622.733493286711
9,ASM,11466.6907058505
10,ATG,17790.309306815
11,AUS,54907.1019101424
12,AUT,50277.2750874213
13,AZE,4793.58701966989
14,BDI,261.247472515742
15,BEL,46116.69923368
16,BEN,1219.43267185875
17,BFA,774.8396902346001
18,BGD,1855.7398240804603
19,BGR,9737.60135083347
20,BHR,23503.977126673
21,BHS,32933.4860147581
22,BIH,6073.26520283208
23,BLR,6663.29529282582
24,BLZ,4815.1637107951
25,BMU,85748.0654143782
26,BOL,3552.0687621415996
27,BRA,8717.18627810819
28,BRB,18148.2449264001
29,BRN,31086.751079293903
30,BTN,3243.23112593497
31,BWA,7961.3381401404795
32,CAF,467.90744063633497
33,CAN,46194.7252255167
34,CEB,16184.332008628999
35,CHE,81993.7271494202
36,CHI,74462.646746792
37,CHL,14896.453866578899
38,CHN,10261.679128374399
39,CIV,2286.162776855
40,CMR,1497.90917560296
41,COD,545.216212311342
42,COG,2011.07239887663
43,COL,6432.38758339551
44,COM,1393.52237156461
45,CPV,3603.7817936777
46,CRI,12238.374964398401
47,CSS,10307.586280788
48,CUB,8821.81889125004
49,CUW,19573.892645136002
50,CYM,85477.28701306871
51,CYP,27858.3709958327
52,CZE,23101.7777049854
53,DEU,46258.87828970519
54,DJI,3408.84625440838
55,DMA,8300.37507427213
56,DNK,59822.0929608968
57,DOM,8282.1162218645
58,DZA,3948.3432789257104
59,EAP,8222.07772991917
60,EAR,3641.4942809410295
61,EAS,11526.736486240301
62,ECA,8110.721448219058
63,ECS,24696.3396075804
64,ECU,6183.823824821729
65,EGY,3020.03134971543
66,EMU,38925.6651077079
67,ERI,642.507659063694
68,ESP,29613.6711379783
69,EST,23659.8722900339
70,ETH,857.501351042922
71,EUU,34843.297471632
72,FCS,2190.31162605328
73,FIN,48685.8539866945
74,FJI,6220.04642089247
75,FRA,40493.9285720456
76,FRO,58622.840815806
77,FSM,3568.291015625
78,GAB,7667.366861269141
79,GBR,42300.267125825
80,GEO,4769.18654326351
81,GHA,2202.11556738065
82,GIB,61700.0
83,GIN,1064.1312373665598
84,GMB,751.2946883887421
85,GNB,697.784402885715
86,GNQ,8131.92388810912
87,GRC,19582.5360108329
88,GRD,10965.5131592044
89,GRL,54470.956386425496
90,GTM,4619.98709708493
91,GUM,35712.5621350321
92,GUY,5468.35662903592
93,HIC,44540.3940855154
94,HKG,48755.8350791287
95,HND,2574.91219067443
96,HPC,947.061233586925
97,HRV,14853.239837463501
98,HTI,754.58791774842
99,HUN,16475.7418389402
100,IBD,6564.92014731271
101,IBT,5227.75905922735
102,IDA,1377.4908204732699
103,IDB,1762.41115437295
104,IDN,4135.569262815539
105,IDX,1185.84185873965
106,IMN,80989.17221145019
107,IND,2104.1459000333302
108,INX,0.0
109,IRL,78660.9564629603
110,IRN,5520.310789323821
111,IRQ,5955.109010368161
112,ISL,66944.8255080349
113,ISR,43641.3977358108
114,ITA,33189.5657988542
115,JAM,5582.263777552111
116,JOR,4330.3293459325705
117,JPN,40246.8801284164
118,KAZ,9731.14520688729
119,KEN,1816.5469164389
120,KGZ,1309.3929916551199
121,KHM,1643.12138876475
122,KIR,1655.07883905984
123,KNA,19896.4957043824
124,KOR,31761.977692344703
125,KWT,32031.980102598798
126,LAC,8368.44639140975
127,LAO,2534.89827724281
128,LBN,7784.3168569297595
129,LBR,621.892953622715
130,LBY,7683.750611229591
131,LCA,11611.4154473966
132,LCN,8847.43187038476
133,LDC,1069.6816991512
134,LIC,779.8189411615269
135,LIE,173356.051288416
136,LKA,3853.08369288942
137,LMC,2176.55822653245
138,LMY,5080.3654962737
139,LSO,1157.5351643314698
140,LTE,10000.4820064391
141,LTU,19455.4541266341
142,LUX,114704.59417086301
143,LVA,17836.364886595802
144,MAC,84096.39631120651
145,MAF,15400.0
146,MAR,3204.0950031329803
147,MCO,185829.01796040699
148,MDA,4498.52085021233
149,MDG,522.21980923047
150,MDV,10790.50023682
151,MEA,8104.50188772468
152,MEX,9863.0726988757
153,MHL,3788.1635937205797
154,MIC,5575.44091508914
155,MKD,6093.14769049676
156,MLI,890.737285506382
157,MLT,29416.230607008398
158,MMR,1407.81314341043
159,MNA,3793.93201839617
160,MNE,8832.03683598629
161,MNG,4295.23502487944
162,MNP,23258.675855279398
163,MOZ,491.80472306373497
164,MRT,1677.9192526863299
165,MUS,11203.5405848607
166,MWI,411.552340423602
167,MYS,11414.837661866799
168,NAC,63181.7957557198
169,NAM,4957.4580058496995
170,NCL,12579.595105586399
171,NER,554.6009686974251
172,NGA,2229.85869624463
173,NIC,1912.9037453786898
174,NLD,52447.831439191104
175,NOR,75419.63486880889
176,NPL,1071.0507605655198
177,NRU,9396.98196681072
178,NZL,42084.3533748088
179,OED,39399.0492287395
180,OMN,15474.032475363501
181,OSS,13981.5837843025
182,PAK,1284.70204090039
183,PAN,15731.0160348471
184,PER,6977.695783553821
185,PHL,3485.0842183662103
186,PLW,15859.434857876799
187,PNG,2845.1801857484197
188,POL,15595.227033425901
189,PRE,1472.38540164517
190,PRI,32873.7192730424
191,PRK,647.0
192,PRT,23145.0408172828
193,PRY,5414.79913793258
194,PSE,3198.86664447405
195,PSS,4192.97376136243
196,PST,45530.248152547196
197,PYF,14323.820820245
198,QAT,64781.73319741691
199,ROU,12919.529644190801
200,RUS,11584.995382610401
201,RWA,801.6561869788071
202,SAS,1959.9171654869897
203,SAU,23139.798656121402
204,SDN,441.505603374484
205,SEN,1446.8309649940802
206,SGP,65233.28243923019
207,SLB,2127.53850760272
208,SLE,504.46254336647996
209,SLV,4187.2500311069
210,SMR,48481.013304210705
211,SOM,126.924920542559
212,SRB,7402.354558620409
213,SSA,1573.0136878916599
214,SSD,1119.6513326782301
215,SSF,1585.43646774798
216,SST,12730.944488416999
217,STP,1994.90646719089
218,SUR,6854.906561484089
219,SVK,19329.0968007902
220,SVN,25739.2478143246
221,SWE,51610.066055220195
222,SWZ,3837.0269938447204
223,SXM,15400.0
224,SYC,17401.721513561202
225,SYR,2032.6234893270102
226,TCA,27142.2277976902
227,TCD,709.5403101385331
228,TEA,8308.33436297408
229,TEC,8988.92804966241
230,TGO,675.542213340634
231,THA,7808.192916299491
232,TJK,870.787589323223
233,TKM,6966.63541063077
234,TLA,8681.19668598354
235,TLS,1294.18893388776
236,TMN,3799.78729071694
237,TON,4364.0155613495
238,TSA,1959.9171654869897
239,TSS,1585.43646774798
240,TTO,17276.4654468225
241,TUN,3317.5410134834497
242,TUR,9042.492982888822
243,TUV,4059.0299956944395
244,TZA,1122.12181047515
245,UGA,776.7685758853081
246,UKR,3659.0313122948705
247,UMC,9040.04578167003
248,URY,16190.1269572827
249,USA,65118.3583328163
250,UZB,1724.8411344137
251,VCT,7463.5378309342295
252,VEN,16054.490513096202
253,VGB,34200.0
254,VIR,35938.0243875154
255,VNM,2715.27603640721
256,VUT,3058.0656752208
257,WLD,11428.569850581101
258,WSM,4315.92067469565
259,XKX,4417.50993975428
260,YEM,968.1590475829989
261,ZAF,6001.40081394888
262,ZMB,1291.34335737364
263,ZWE,1463.9859101805403
